22.05.2024 9:44:10.841 CAN1 ID=0x018120F0, D(8)=0x03-00-37-01-04-00-01-00
22.05.2024 9:44:11.106 CAN2 ERR = 0x0001
22.05.2024 9:44:11.106 CAN1 ERR = 0x0001
22.05.2024 9:44:11.106 CAN2 ID=0x018120F0, D(8)=0x03-00-37-01-04-00-01-00
22.05.2024 9:44:11.511 CAN1 ID=0x00C120F0, D(8)=0x03-00-37-01-04-00-01-00
22.05.2024 9:44:11.948 CAN1 ID=0x008120F0, D(8)=0x03-00-37-01-04-00-01-00
22.05.2024 9:44:11.948 CAN2 ID=0x00C120F0, D(8)=0x03-00-37-01-04-00-01-00
22.05.2024 9:44:12.323 CAN2 ID=0x008120F0, D(8)=0x03-00-37-01-04-00-01-00
22.05.2024 9:44:13.758 CAN1 ID=0x108100FA, D(8)=0x0D-20-00-00-00-00-00-00
22.05.2024 9:44:13.758 CAN1 ID=0x108141FA, D(8)=0x00-00-00-00-00-00-00-00
22.05.2024 9:44:13.758 CAN1 ID=0x108182FA, D(8)=0x00-00-00-00-00-00-00-00
22.05.2024 9:44:13.773 CAN1 ID=0x108100FC, D(8)=0x0D-20-00-00-00-00-00-00
22.05.2024 9:44:13.773 CAN1 ID=0x108141FC, D(8)=0x00-00-00-00-00-00-00-00
22.05.2024 9:44:13.836 CAN1 ID=0x108182FC, D(8)=0x00-00-00-00-00-00-00-00
22.05.2024 9:44:14.631 CAN1 ERR = 0x0001
22.05.2024 9:44:14.631 CAN2 ERR = 0x0001
22.05.2024 9:44:15.692 CAN1 ERR = 0x0002
22.05.2024 9:44:15.692 CAN2 ERR = 0x0002
22.05.2024 9:44:17.627 CAN1 ID=0x118100FA, D(8)=0x0F-60-03-00-00-00-00-00
22.05.2024 9:44:17.627 CAN1 ID=0x118141FA, D(8)=0x00-00-00-00-00-00-00-00
22.05.2024 9:44:17.627 CAN1 ID=0x118142FA, D(8)=0x00-00-00-00-00-00-00-00
22.05.2024 9:44:17.627 CAN1 ID=0x118143FA, D(8)=0x00-00-00-00-00-00-00-00
22.05.2024 9:44:17.627 CAN1 ID=0x118184FA, D(8)=0x00-00-00-00-00-00-00-00
22.05.2024 9:44:18.625 CAN1 ID=0x118100FC, D(8)=0x02-33-00-03-2E-2E-00-00
22.05.2024 9:44:18.625 CAN1 ID=0x118141FC, D(8)=0x7F-CF-80-FF-FF-FF-00-00
22.05.2024 9:44:18.625 CAN1 ID=0x118142FC, D(8)=0x00-00-00-00-00-00-03-00
22.05.2024 9:44:18.625 CAN1 ID=0x118143FC, D(8)=0x00-03-00-00-03-00-00-03
22.05.2024 9:44:18.625 CAN1 ID=0x118144FC, D(8)=0x00-00-03-00-00-03-00-00
22.05.2024 9:44:18.625 CAN1 ID=0x118145FC, D(8)=0x03-00-00-03-00-00-03-00
22.05.2024 9:44:18.625 CAN1 ID=0x118146FC, D(8)=0x00-03-00-00-03-00-00-03
22.05.2024 9:44:18.625 CAN1 ID=0x118147FC, D(8)=0x00-00-03-00-00-03-00-00
22.05.2024 9:44:18.625 CAN1 ID=0x118148FC, D(8)=0x03-00-00-03-00-00-03-00
22.05.2024 9:44:18.625 CAN1 ID=0x118149FC, D(8)=0x00-03-00-00-03-00-00-03
